event_id,timestamp,gateway_id,session_id,attack_id,transaction_id,source_ip,destination_port,protocol,amount,currency,payment_method,gateway_status,is_suspicious
PAY000960,2026-08-21 18:44:34,GW01,SES05890,BENIGN,TXN956002,172.29.122.104,443,TCPS,290.19,NAD,eft,approved,0
PAY000343,2026-08-21 19:45:32,GW01,SES09105,BENIGN,TXN715452,10.121.171.70,443,TCPS,171.72,NAD,eft,approved,0
PAY000806,2026-08-21 20:12:57,GW01,SES00830,BENIGN,TXN542447,192.168.179.170,443,TCPS,514.85,NAD,eft,approved,0
PAY001147,2026-08-21 20:41:44,GW01,SES06546,BENIGN,TXN313761,172.16.18.99,443,TCPS,580.27,NAD,card,approved,0
PAY000976,2026-08-21 21:09:28,GW01,SES02687,BENIGN,TXN871359,10.35.139.2,443,TCPS,574.52,NAD,card,approved,0
PAY000013,2026-08-21 21:18:51,GW01,SES00127,BENIGN,TXN101592,172.21.254.12,443,TCPS,354.58,NAD,eft,approved,0
PAY000192,2026-08-21 21:33:20,GW01,SES08737,BENIGN,TXN605471,10.41.22.159,443,TCPS,783.26,NAD,card,approved,0
PAY000533,2026-08-21 21:37:04,GW01,SES03321,BENIGN,TXN127278,10.39.180.11,443,TCPS,734.8,NAD,eft,approved,0
PAY000865,2026-08-21 22:06:53,GW01,SES03485,BENIGN,TXN789803,192.168.43.23,443,TCPS,361.11,NAD,card,approved,0
PAY000941,2026-08-21 22:26:30,GW01,SES01590,BENIGN,TXN556369,192.168.125.113,443,TCPS,297.42,NAD,eft,approved,0
PAY000076,2026-08-21 22:33:54,GW01,SES00172,BENIGN,TXN290629,172.24.156.165,443,TCPS,645.76,NAD,card,approved,0
PAY001161,2026-08-22 00:39:08,GW01,SES02728,BENIGN,TXN640994,192.168.122.68,443,TCPS,57.0,NAD,eft,approved,0
PAY000681,2026-08-22 01:19:23,GW01,SES03701,BENIGN,TXN104172,192.168.117.134,443,TCPS,122.34,NAD,eft,approved,0
PAY000061,2026-08-22 02:09:41,GW01,SES05312,BENIGN,TXN334181,172.29.171.39,443,TCPS,175.33,NAD,eft,approved,0
PAY000432,2026-08-22 02:14:28,GW01,SES02187,BENIGN,TXN674670,172.26.69.9,443,TCPS,202.64,NAD,eft,approved,0
PAY000039,2026-08-22 02:23:29,GW01,SES06919,BENIGN,TXN219279,192.168.229.253,443,TCPS,517.5,NAD,card,approved,0
PAY000626,2026-08-22 02:28:57,GW01,SES03249,BENIGN,TXN362036,10.83.127.250,443,TCPS,421.03,NAD,card,approved,0
PAY000304,2026-08-22 02:42:58,GW01,SES00071,BENIGN,TXN865537,10.144.135.201,443,TCPS,741.4,NAD,card,approved,0
PAY000812,2026-08-22 03:31:39,GW01,SES08880,BENIGN,TXN847576,192.168.77.21,443,TCPS,429.56,NAD,eft,approved,0
PAY000537,2026-08-22 03:36:06,GW01,SES00216,BENIGN,TXN500315,172.25.51.203,443,TCPS,266.68,NAD,eft,approved,0
PAY000100,2026-08-22 03:51:24,GW01,SES02805,BENIGN,TXN816369,172.21.68.89,443,TCPS,750.73,NAD,card,approved,0
PAY001048,2026-08-22 04:17:18,GW01,SES03306,BENIGN,TXN251474,172.21.172.73,443,TCPS,96.68,NAD,card,approved,0
PAY000280,2026-08-22 04:26:45,GW01,SES01045,BENIGN,TXN116136,172.16.194.222,443,TCPS,718.87,NAD,card,approved,0
PAY000243,2026-08-22 04:27:11,GW01,SES06694,BENIGN,TXN388670,10.170.1.211,443,TCPS,204.26,NAD,card,approved,0
PAY000024,2026-08-22 04:36:53,GW01,SES06488,BENIGN,TXN275831,172.23.139.161,443,TCPS,180.41,NAD,eft,approved,0
PAY001016,2026-08-22 04:37:08,GW01,SES06685,BENIGN,TXN286227,192.168.196.21,443,TCPS,538.97,NAD,card,approved,0
PAY001200,2026-08-22 04:51:46,GW01,SES08825,BENIGN,TXN900403,192.168.186.30,443,TCPS,260.31,NAD,card,approved,0
PAY000769,2026-08-22 05:21:10,GW01,SES04160,BENIGN,TXN217213,192.168.77.3,443,TCPS,441.12,NAD,card,approved,0
PAY000260,2026-08-22 05:23:35,GW01,SES09638,BENIGN,TXN149088,192.168.107.68,443,TCPS,637.63,NAD,eft,approved,0
PAY000155,2026-08-22 05:27:58,GW01,SES06574,BENIGN,TXN950355,192.168.149.72,443,TCPS,198.48,NAD,eft,approved,0
PAY000441,2026-08-22 05:31:52,GW01,SES06922,BENIGN,TXN276867,192.168.196.241,443,TCPS,138.0,NAD,card,approved,0
PAY001169,2026-08-22 05:39:47,GW01,SES01585,BENIGN,TXN508595,172.21.238.88,443,TCPS,772.01,NAD,eft,approved,0
PAY000301,2026-08-22 06:02:53,GW01,SES02819,BENIGN,TXN665151,172.22.100.248,443,TCPS,394.35,NAD,eft,approved,0
PAY000763,2026-08-22 06:27:01,GW01,SES09043,BENIGN,TXN676411,192.168.179.84,443,TCPS,478.46,NAD,card,approved,0
PAY000955,2026-08-22 07:43:06,GW01,SES05977,BENIGN,TXN491502,172.31.187.154,443,TCPS,523.68,NAD,eft,approved,0
PAY000843,2026-08-22 07:53:05,GW01,SES09142,BENIGN,TXN206120,192.168.109.233,443,TCPS,748.09,NAD,card,approved,0
PAY000914,2026-08-22 07:53:39,GW01,SES08680,BENIGN,TXN333667,192.168.92.235,443,TCPS,89.71,NAD,card,approved,0
PAY000465,2026-08-22 08:57:57,GW01,SES03336,BENIGN,TXN884212,192.168.247.159,443,TCPS,600.19,NAD,card,approved,0
PAY001026,2026-08-22 09:07:07,GW01,SES05666,BENIGN,TXN127049,10.12.149.8,443,TCPS,99.49,NAD,eft,approved,0
PAY000649,2026-08-22 09:17:46,GW01,SES03200,BENIGN,TXN309423,192.168.237.248,443,TCPS,276.47,NAD,card,approved,0
PAY000608,2026-08-22 09:28:24,GW01,SES02903,BENIGN,TXN642567,192.168.87.177,443,TCPS,69.98,NAD,card,approved,0
PAY000408,2026-08-22 09:40:18,GW01,SES06372,BENIGN,TXN221777,172.22.31.204,443,TCPS,709.34,NAD,eft,approved,0
PAY000913,2026-08-22 09:57:43,GW01,SES08473,BENIGN,TXN342494,192.168.223.86,443,TCPS,266.21,NAD,card,approved,0
PAY000178,2026-08-22 10:51:51,GW01,SES06698,BENIGN,TXN396584,192.168.82.199,443,TCPS,332.99,NAD,card,approved,0
PAY001055,2026-08-22 12:33:36,GW01,SES09484,BENIGN,TXN648750,192.168.91.52,443,TCPS,228.16,NAD,card,approved,0
PAY000064,2026-08-22 14:21:43,GW01,SES08856,BENIGN,TXN580066,10.43.233.245,443,TCPS,635.69,NAD,eft,approved,0
PAY000548,2026-08-22 14:44:27,GW01,SES07807,BENIGN,TXN705062,10.16.96.183,443,TCPS,22.62,NAD,eft,approved,0
PAY000122,2026-08-22 14:50:03,GW01,SES02317,BENIGN,TXN364341,172.22.125.181,443,TCPS,489.11,NAD,eft,approved,0
PAY000625,2026-08-22 15:18:08,GW01,SES09481,BENIGN,TXN594743,10.245.167.200,443,TCPS,203.24,NAD,eft,approved,0
PAY000770,2026-08-22 15:49:03,GW01,SES01830,BENIGN,TXN127623,192.168.14.7,443,TCPS,743.96,NAD,eft,approved,0
PAY000679,2026-08-22 15:52:27,GW01,SES03064,BENIGN,TXN508115,172.17.217.112,443,TCPS,599.97,NAD,card,approved,0
PAY000678,2026-08-22 15:52:29,GW01,SES07960,BENIGN,TXN855620,172.21.97.80,443,TCPS,342.06,NAD,eft,approved,0
PAY001002,2026-08-22 15:54:47,GW01,SES09475,BENIGN,TXN451156,172.24.110.198,443,TCPS,159.74,NAD,eft,approved,0
PAY000440,2026-08-22 16:06:27,GW01,SES03794,BENIGN,TXN416904,10.244.125.43,443,TCPS,789.2,NAD,card,approved,0
PAY000822,2026-08-22 16:25:50,GW01,SES01733,BENIGN,TXN680136,10.236.4.90,443,TCPS,468.17,NAD,card,approved,0
PAY000702,2026-08-22 17:25:17,GW01,SES03073,BENIGN,TXN345852,10.193.242.226,443,TCPS,326.14,NAD,eft,approved,0
PAY000944,2026-08-22 18:06:00,GW01,SES09059,BENIGN,TXN261220,192.168.140.97,443,TCPS,795.86,NAD,eft,approved,0
PAY000252,2026-08-22 18:33:05,GW01,SES07053,BENIGN,TXN996823,172.21.209.245,443,TCPS,184.12,NAD,eft,approved,0
PAY000984,2026-08-22 19:04:02,GW01,SES07087,BENIGN,TXN177404,172.18.90.218,443,TCPS,63.52,NAD,eft,approved,0
PAY000456,2026-08-22 19:05:29,GW01,SES01950,BENIGN,TXN103488,172.27.142.95,443,TCPS,264.17,NAD,eft,approved,0
PAY000801,2026-08-22 19:06:42,GW01,SES03019,BENIGN,TXN282855,10.122.130.15,443,TCPS,237.16,NAD,card,approved,0
PAY000501,2026-08-22 19:08:01,GW01,SES05300,BENIGN,TXN509091,172.16.94.178,443,TCPS,558.53,NAD,card,approved,0
PAY001033,2026-08-22 19:40:43,GW01,SES02080,BENIGN,TXN565277,10.64.28.170,443,TCPS,744.08,NAD,card,approved,0
PAY000017,2026-08-22 21:46:54,GW01,SES01215,BENIGN,TXN897355,192.168.7.97,443,TCPS,139.3,NAD,eft,approved,0
PAY000237,2026-08-22 22:15:09,GW01,SES00368,BENIGN,TXN293661,10.98.48.129,443,TCPS,287.14,NAD,card,approved,0
PAY001070,2026-08-22 22:17:14,GW01,SES06795,BENIGN,TXN196015,172.31.241.102,443,TCPS,56.82,NAD,eft,approved,0
PAY000113,2026-08-22 22:42:13,GW01,SES03186,BENIGN,TXN474389,172.20.133.137,443,TCPS,259.32,NAD,eft,approved,0
PAY000059,2026-08-22 23:46:21,GW01,SES07653,BENIGN,TXN156343,172.17.235.73,443,TCPS,120.97,NAD,card,approved,0
PAY000074,2026-08-22 23:51:20,GW01,SES05879,BENIGN,TXN343142,10.69.112.164,443,TCPS,628.24,NAD,eft,approved,0
PAY000749,2026-08-22 23:58:05,GW01,SES07691,BENIGN,TXN127506,192.168.170.247,443,TCPS,96.68,NAD,eft,approved,0
PAY001035,2026-08-23 00:03:26,GW01,SES05491,BENIGN,TXN639893,192.168.6.213,443,TCPS,730.34,NAD,card,approved,0
PAY001061,2026-08-23 00:43:33,GW01,SES02427,BENIGN,TXN519739,172.21.193.173,443,TCPS,620.26,NAD,eft,approved,0
PAY000041,2026-08-23 00:44:45,GW01,SES06441,BENIGN,TXN495721,192.168.77.0,443,TCPS,643.52,NAD,card,approved,0
PAY000208,2026-08-23 00:52:53,GW01,SES04839,BENIGN,TXN422011,172.16.37.235,443,TCPS,458.46,NAD,eft,approved,0
PAY001116,2026-08-23 01:36:47,GW01,SES06605,BENIGN,TXN590397,172.30.220.17,443,TCPS,225.33,NAD,card,approved,0
PAY000760,2026-08-23 02:10:45,GW01,SES01503,BENIGN,TXN260558,192.168.126.55,443,TCPS,598.6,NAD,eft,approved,0
PAY000660,2026-08-23 02:50:38,GW01,SES02316,BENIGN,TXN159914,192.168.117.149,443,TCPS,310.58,NAD,eft,approved,0
PAY000995,2026-08-23 02:52:24,GW01,SES00730,BENIGN,TXN370779,172.24.170.44,443,TCPS,212.88,NAD,eft,approved,0
PAY000069,2026-08-23 03:13:28,GW01,SES00567,BENIGN,TXN537005,192.168.253.115,443,TCPS,176.38,NAD,eft,approved,0
PAY000421,2026-08-23 03:34:12,GW01,SES06987,BENIGN,TXN829363,192.168.56.5,443,TCPS,184.09,NAD,card,approved,0
PAY000884,2026-08-23 04:04:27,GW01,SES05965,BENIGN,TXN475030,192.168.144.240,443,TCPS,457.38,NAD,card,approved,0
PAY000205,2026-08-23 04:12:59,GW01,SES01079,BENIGN,TXN390480,192.168.155.179,443,TCPS,443.51,NAD,card,approved,0
PAY000454,2026-08-23 05:12:20,GW01,SES03414,BENIGN,TXN216793,192.168.213.143,443,TCPS,56.54,NAD,eft,approved,0
PAY000480,2026-08-23 05:34:26,GW01,SES06279,BENIGN,TXN202907,10.43.109.200,443,TCPS,310.53,NAD,eft,approved,0
PAY000622,2026-08-23 06:30:57,GW01,SES04118,BENIGN,TXN179428,172.31.135.205,443,TCPS,231.73,NAD,card,approved,0
PAY000357,2026-08-23 06:36:02,GW01,SES05525,BENIGN,TXN350638,192.168.206.113,443,TCPS,723.66,NAD,eft,approved,0
PAY001153,2026-08-23 07:04:26,GW01,SES03734,BENIGN,TXN595546,192.168.100.201,443,TCPS,432.7,NAD,card,approved,0
PAY000689,2026-08-23 07:33:41,GW01,SES03987,BENIGN,TXN749965,10.127.31.23,443,TCPS,446.44,NAD,card,approved,0
PAY000954,2026-08-23 07:43:42,GW01,SES03325,BENIGN,TXN530674,10.122.223.177,443,TCPS,439.36,NAD,eft,approved,0
PAY000048,2026-08-23 08:11:27,GW01,SES03817,BENIGN,TXN174072,192.168.9.110,443,TCPS,28.85,NAD,card,approved,0
PAY001036,2026-08-23 08:57:02,GW01,SES06989,BENIGN,TXN761915,172.26.213.77,443,TCPS,523.51,NAD,card,approved,0
PAY000957,2026-08-23 09:50:39,GW01,SES03113,BENIGN,TXN634407,192.168.132.1,443,TCPS,304.58,NAD,card,approved,0
PAY000794,2026-08-23 10:01:16,GW01,SES03216,BENIGN,TXN293160,10.193.251.8,443,TCPS,265.43,NAD,eft,approved,0
PAY000413,2026-08-23 10:37:53,GW01,SES06593,BENIGN,TXN571633,192.168.111.191,443,TCPS,572.61,NAD,eft,approved,0
PAY000332,2026-08-23 11:19:29,GW01,SES09774,BENIGN,TXN613161,192.168.36.171,443,TCPS,412.85,NAD,eft,approved,0
PAY000085,2026-08-23 11:54:00,GW01,SES03815,BENIGN,TXN417799,10.152.63.121,443,TCPS,124.49,NAD,eft,approved,0
PAY000819,2026-08-23 12:19:36,GW01,SES04398,BENIGN,TXN139870,192.168.161.239,443,TCPS,416.53,NAD,eft,approved,0
PAY001152,2026-08-23 12:20:24,GW01,SES02283,BENIGN,TXN636037,10.56.184.67,443,TCPS,225.51,NAD,card,approved,0
PAY000012,2026-08-23 12:48:04,GW01,SES00554,BENIGN,TXN393149,192.168.92.247,443,TCPS,150.41,NAD,card,approved,0
PAY000647,2026-08-23 13:33:19,GW01,SES07613,BENIGN,TXN895192,172.19.48.74,443,TCPS,607.64,NAD,eft,approved,0
PAY000264,2026-08-23 14:09:45,GW01,SES08368,BENIGN,TXN990797,192.168.152.64,443,TCPS,188.42,NAD,eft,approved,0
PAY000946,2026-08-23 14:21:02,GW01,SES09001,BENIGN,TXN591117,10.60.143.31,443,TCPS,376.2,NAD,card,approved,0
PAY000423,2026-08-23 14:36:19,GW01,SES08110,BENIGN,TXN205666,172.16.158.55,443,TCPS,520.26,NAD,card,approved,0
PAY000176,2026-08-23 16:13:15,GW01,SES09199,BENIGN,TXN471378,10.162.116.50,443,TCPS,41.25,NAD,card,approved,0
PAY000052,2026-08-23 18:29:58,GW01,SES03736,BENIGN,TXN522034,10.191.4.235,443,TCPS,788.12,NAD,card,approved,0
PAY000190,2026-08-23 19:39:29,GW01,SES05956,BENIGN,TXN411806,192.168.27.29,443,TCPS,210.64,NAD,eft,approved,0
PAY000531,2026-08-23 20:19:36,GW01,SES02297,BENIGN,TXN329516,10.193.118.3,443,TCPS,242.61,NAD,eft,approved,0
PAY000637,2026-08-24 00:16:17,GW01,SES05540,BENIGN,TXN149651,10.100.222.155,443,TCPS,221.57,NAD,eft,approved,0
PAY000929,2026-08-24 01:09:51,GW01,SES01206,BENIGN,TXN354970,172.22.234.209,443,TCPS,636.48,NAD,card,approved,0
PAY000938,2026-08-24 01:18:07,GW01,SES09947,BENIGN,TXN318936,10.6.234.174,443,TCPS,502.52,NAD,card,approved,0
PAY000450,2026-08-24 02:07:18,GW01,SES00158,BENIGN,TXN744031,192.168.70.159,443,TCPS,699.9,NAD,card,approved,0
PAY001103,2026-08-24 02:09:26,GW01,SES00953,BENIGN,TXN237717,172.26.60.60,443,TCPS,564.9,NAD,card,approved,0
PAY001053,2026-08-24 02:25:53,GW01,SES08472,BENIGN,TXN467171,10.106.108.83,443,TCPS,719.78,NAD,card,approved,0
PAY001023,2026-08-24 04:05:00,GW01,SES09106,BENIGN,TXN690383,172.28.25.67,443,TCPS,533.22,NAD,card,approved,0
PAY001042,2026-08-24 04:16:22,GW01,SES01832,BENIGN,TXN118662,172.18.39.43,443,TCPS,512.77,NAD,card,approved,0
PAY000947,2026-08-24 04:40:52,GW01,SES08186,BENIGN,TXN821516,10.127.108.136,443,TCPS,241.24,NAD,card,approved,0
PAY000491,2026-08-24 04:45:35,GW01,SES03025,BENIGN,TXN459417,192.168.73.163,443,TCPS,202.85,NAD,card,approved,0
PAY000142,2026-08-24 05:52:13,GW01,SES08332,BENIGN,TXN149981,172.16.54.30,443,TCPS,690.82,NAD,eft,approved,0
PAY000259,2026-08-24 06:15:17,GW01,SES09932,BENIGN,TXN539478,10.33.219.65,443,TCPS,61.55,NAD,eft,approved,0
PAY000787,2026-08-24 06:31:43,GW01,SES01123,BENIGN,TXN682725,192.168.147.85,443,TCPS,350.17,NAD,card,approved,0
PAY000816,2026-08-24 07:03:31,GW01,SES01536,BENIGN,TXN652149,192.168.182.137,443,TCPS,246.4,NAD,eft,approved,0
PAY000642,2026-08-24 07:06:07,GW01,SES04649,BENIGN,TXN318613,192.168.117.34,443,TCPS,388.12,NAD,card,approved,0
PAY000574,2026-08-24 07:11:16,GW01,SES02970,BENIGN,TXN872521,172.22.107.26,443,TCPS,673.99,NAD,card,approved,0
PAY000234,2026-08-24 08:20:09,GW01,SES03304,BENIGN,TXN550555,10.114.129.170,443,TCPS,90.29,NAD,eft,approved,0
PAY000374,2026-08-24 08:40:35,GW01,SES09733,BENIGN,TXN820995,172.16.217.45,443,TCPS,420.52,NAD,eft,approved,0
PAY000979,2026-08-24 09:13:45,GW01,SES02075,BENIGN,TXN453091,172.29.20.138,443,TCPS,348.66,NAD,eft,approved,0
PAY000160,2026-08-24 09:15:30,GW01,SES00355,BENIGN,TXN496841,192.168.3.140,443,TCPS,73.86,NAD,eft,approved,0
PAY001045,2026-08-24 09:17:04,GW01,SES05308,BENIGN,TXN355081,10.59.161.118,443,TCPS,652.66,NAD,eft,approved,0
PAY001021,2026-08-24 09:41:27,GW01,SES07673,BENIGN,TXN995520,10.217.70.38,443,TCPS,671.12,NAD,card,approved,0
PAY000600,2026-08-24 10:07:10,GW01,SES07669,BENIGN,TXN230236,172.26.197.178,443,TCPS,161.15,NAD,card,approved,0
PAY000406,2026-08-24 11:17:49,GW01,SES02472,BENIGN,TXN723421,10.104.96.86,443,TCPS,628.85,NAD,eft,approved,0
PAY001095,2026-08-24 11:24:23,GW01,SES08736,BENIGN,TXN714811,10.116.103.185,443,TCPS,305.55,NAD,eft,approved,0
PAY000070,2026-08-24 11:30:03,GW01,SES05343,BENIGN,TXN205737,10.159.24.115,443,TCPS,596.19,NAD,card,approved,0
PAY000422,2026-08-24 11:32:06,GW01,SES03037,BENIGN,TXN638428,10.82.203.33,443,TCPS,200.95,NAD,eft,approved,0
PAY000734,2026-08-24 12:35:07,GW01,SES06991,BENIGN,TXN796684,172.22.178.193,443,TCPS,229.51,NAD,eft,approved,0
PAY000002,2026-08-24 12:39:24,GW01,SES08090,BENIGN,TXN556533,10.104.70.64,443,TCPS,368.92,NAD,card,approved,0
PAY000136,2026-08-24 13:40:00,GW01,SES03910,BENIGN,TXN341198,10.228.0.182,443,TCPS,453.0,NAD,card,approved,0
PAY001106,2026-08-24 13:44:04,GW01,SES01261,BENIGN,TXN852500,172.16.236.207,443,TCPS,678.0,NAD,eft,approved,0
PAY000115,2026-08-24 14:16:06,GW01,SES06938,BENIGN,TXN482633,10.88.147.207,443,TCPS,624.52,NAD,eft,approved,0
PAY000723,2026-08-24 14:31:07,GW01,SES06937,BENIGN,TXN529975,192.168.103.111,443,TCPS,344.9,NAD,eft,approved,0
PAY000438,2026-08-24 14:56:15,GW01,SES05707,BENIGN,TXN681756,10.25.44.207,443,TCPS,584.82,NAD,eft,approved,0
PAY000752,2026-08-24 15:04:18,GW01,SES05166,BENIGN,TXN212331,172.30.159.192,443,TCPS,47.28,NAD,card,approved,0
PAY000705,2026-08-24 17:05:18,GW01,SES06844,BENIGN,TXN965628,10.219.44.153,443,TCPS,25.02,NAD,card,approved,0
PAY000506,2026-08-24 17:19:33,GW01,SES05991,BENIGN,TXN859449,192.168.141.11,443,TCPS,429.54,NAD,eft,approved,0
PAY000309,2026-08-24 17:31:19,GW01,SES06207,BENIGN,TXN764570,172.17.28.251,443,TCPS,229.47,NAD,card,approved,0
PAY000584,2026-08-24 18:37:55,GW01,SES02761,BENIGN,TXN160205,192.168.156.186,443,TCPS,185.59,NAD,eft,approved,0
PAY000497,2026-08-24 18:42:43,GW01,SES01241,BENIGN,TXN957951,10.217.93.181,443,TCPS,225.57,NAD,eft,approved,0
PAY000455,2026-08-24 19:02:04,GW01,SES02757,BENIGN,TXN229346,192.168.102.126,443,TCPS,678.95,NAD,eft,approved,0
PAY000540,2026-08-24 19:20:07,GW01,SES07672,BENIGN,TXN625316,10.168.170.46,443,TCPS,674.98,NAD,card,approved,0
PAY000927,2026-08-24 21:43:58,GW01,SES08213,BENIGN,TXN181670,10.101.170.60,443,TCPS,36.78,NAD,card,approved,0
PAY000861,2026-08-24 21:46:19,GW01,SES06290,BENIGN,TXN262506,10.249.172.126,443,TCPS,249.6,NAD,eft,approved,0
PAY000268,2026-08-24 21:52:47,GW01,SES01393,BENIGN,TXN982347,172.29.228.237,443,TCPS,476.28,NAD,card,approved,0
PAY000044,2026-08-24 22:52:13,GW01,SES01442,BENIGN,TXN123535,192.168.105.231,443,TCPS,342.21,NAD,eft,approved,0
PAY001125,2026-08-24 23:30:48,GW01,SES08980,BENIGN,TXN877053,10.147.142.162,443,TCPS,546.65,NAD,eft,approved,0
PAY000229,2026-08-24 23:35:20,GW01,SES04070,BENIGN,TXN923612,192.168.94.177,443,TCPS,795.09,NAD,card,approved,0
PAY001066,2026-08-24 23:43:08,GW01,SES07875,BENIGN,TXN730505,10.239.228.196,443,TCPS,568.94,NAD,eft,approved,0
PAY001144,2026-08-25 00:01:05,GW01,SES08566,BENIGN,TXN751238,172.29.217.202,443,TCPS,523.98,NAD,card,approved,0
PAY000315,2026-08-25 01:12:24,GW01,SES08761,BENIGN,TXN927080,10.28.151.193,443,TCPS,610.31,NAD,eft,approved,0
PAY000694,2026-08-25 01:20:12,GW01,SES00207,BENIGN,TXN494100,172.21.237.221,443,TCPS,738.66,NAD,card,approved,0
PAY000213,2026-08-25 01:32:25,GW01,SES01651,BENIGN,TXN861110,172.16.27.44,443,TCPS,559.58,NAD,eft,approved,0
PAY000446,2026-08-25 01:43:43,GW01,SES06757,BENIGN,TXN449230,10.192.248.22,443,TCPS,676.94,NAD,eft,approved,0
PAY000581,2026-08-25 02:25:19,GW01,SES02083,BENIGN,TXN251654,192.168.114.225,443,TCPS,329.83,NAD,card,approved,0
PAY000323,2026-08-25 03:21:09,GW01,SES07106,BENIGN,TXN812697,192.168.28.199,443,TCPS,768.97,NAD,eft,approved,0
PAY000781,2026-08-25 04:16:30,GW01,SES04149,BENIGN,TXN975612,192.168.124.204,443,TCPS,83.75,NAD,eft,approved,0
PAY000895,2026-08-25 04:36:44,GW01,SES09416,BENIGN,TXN660420,10.108.104.238,443,TCPS,511.29,NAD,card,approved,0
PAY000717,2026-08-25 05:11:11,GW01,SES01268,BENIGN,TXN884865,192.168.3.113,443,TCPS,562.91,NAD,card,approved,0
PAY000764,2026-08-25 06:51:45,GW01,SES04465,BENIGN,TXN755203,192.168.105.163,443,TCPS,37.23,NAD,eft,approved,0
PAY000786,2026-08-25 07:35:26,GW01,SES06386,BENIGN,TXN651438,10.144.19.243,443,TCPS,393.42,NAD,eft,approved,0
PAY001032,2026-08-25 07:49:13,GW01,SES00107,BENIGN,TXN338342,192.168.24.93,443,TCPS,505.83,NAD,eft,approved,0
PAY000640,2026-08-25 08:11:17,GW01,SES08049,BENIGN,TXN521075,192.168.46.127,443,TCPS,788.75,NAD,eft,approved,0
PAY000838,2026-08-25 08:41:00,GW01,SES08349,BENIGN,TXN252256,10.30.33.125,443,TCPS,504.13,NAD,eft,approved,0
PAY000210,2026-08-25 09:10:37,GW01,SES02964,BENIGN,TXN113320,192.168.73.136,443,TCPS,187.0,NAD,eft,approved,0
PAY000712,2026-08-25 09:26:53,GW01,SES03068,BENIGN,TXN471013,10.245.161.9,443,TCPS,288.03,NAD,eft,approved,0
PAY000809,2026-08-25 10:01:37,GW01,SES06731,BENIGN,TXN443771,10.92.109.59,443,TCPS,250.01,NAD,card,approved,0
PAY000804,2026-08-25 10:05:40,GW01,SES05349,BENIGN,TXN285281,10.61.58.204,443,TCPS,720.95,NAD,eft,approved,0
PAY000235,2026-08-25 11:14:49,GW01,SES03719,BENIGN,TXN752209,172.23.101.49,443,TCPS,119.72,NAD,card,approved,0
PAY000469,2026-08-25 11:47:08,GW01,SES05788,BENIGN,TXN287728,192.168.233.224,443,TCPS,669.57,NAD,eft,approved,0
PAY000184,2026-08-25 12:01:59,GW01,SES07541,BENIGN,TXN856176,10.30.13.130,443,TCPS,767.93,NAD,card,approved,0
PAY000627,2026-08-25 12:42:12,GW01,SES08869,BENIGN,TXN500018,192.168.80.220,443,TCPS,397.25,NAD,eft,approved,0
PAY000871,2026-08-25 12:47:34,GW01,SES06806,BENIGN,TXN347724,192.168.203.80,443,TCPS,199.41,NAD,card,approved,0
PAY000364,2026-08-25 14:12:04,GW01,SES02076,BENIGN,TXN610317,192.168.223.103,443,TCPS,385.64,NAD,card,approved,0
PAY000032,2026-08-25 14:51:10,GW01,SES07306,BENIGN,TXN171059,172.25.128.90,443,TCPS,157.64,NAD,card,approved,0
